orderID|orderTime|userID|couponsReceived|couponID1|price1|basePrice1|reward1|premiumProduct1|brand1|productGroup1|categoryIDs1|couponID2|price2|basePrice2|reward2|premiumProduct2|brand2|productGroup2|categoryIDs2|couponID3|price3|basePrice3|reward3|premiumProduct3|brand3|productGroup3|categoryIDs3|coupon1Used|coupon2Used|coupon3Used|basketValue
1|2015-01-06 09:38:35|f77fdea046ce0a40eb30ac35dde882cd|2015-01-06 09:34:53|89d62b666d585f03f262b1f6a6abdd2c|3.24|5.4|1.57|0|788c2fd7ba973489e6529275c01211db|bfdca7185ad7366f965590bab1417db5|b7e3b0110f96213f5087034b92be487a,4b3e2dbd4d59c43bf6982405a5f7fce7|f2d9a4e781b3f198f244d6c130152bb8|5.19|0.57|1.57|0|f6601412b868a05c118961e9d7869bc8|041a02d031057ba1c2e210fe6b0db0f4|f12c4112c9ea685dc2d2705b1448bfbc,a0ae3bad823bea2ffa642bf47daa4a77|bd6402915feb3dd717c579f3f133ba22|12.92|12.92|2.2|0||94a7d11a8972ed94819c748a1d1b42f8|796c5815752a170021838a78bf7fab34,a0ae3bad823bea2ffa642bf47daa4a77,4b3e2dbd4d59c43bf6982405a5f7fce7|0|1|0|187.6
2|2015-01-06 10:03:19|49fb109b47d0cee1753b63c24574d9d5|2015-01-06 10:00:44|093c94d44333cd07a4318a0231b967c8|2.32|1.59|1.57|0|f6601412b868a05c118961e9d7869bc8|e8f2ae4556952195821c46ea2da1d21c|796c5815752a170021838a78bf7fab34|4947578494e36ec93b27470bf0d9b868|3.7|1.85|0.94|0||fa5cc31a659b346bcb8c069991fcd326|f929d7624d13f00e1ca52c9edb5c03ba|7d105576cee40e8f9ffd798903c9da81|3.89|0.06|2.2|0|f6601412b868a05c118961e9d7869bc8|f5d6f7cd5f84fd41fbc4535f0fb77b89|f929d7624d13f00e1ca52c9edb5c03ba|1|0|1|185.93
3|2015-01-06 10:08:13|b767e0e5cda30fc2e7c39f8049eebb5a|2015-01-06 09:29:16|a10bb278883972b3e977d30f4c5d526c|7.92|2.64|1.26|1|4e03e74099990e8529eb7e7328220af1|c06dc2b4a5f7ecdfa27a83acf7a29423|b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970|af9837e0d8f484f3520285f3d5f3deb7|4.17|1.39|1.26|1|4e03e74099990e8529eb7e7328220af1|7ebc31798e2d38e862cc336f448781a9|f12c4112c9ea685dc2d2705b1448bfbc,667daa357f8999be0805a6d62d7d3970|4270374b0780f856a6afdf98bf759f1a|2.73|0.88|1.26|0|304979e999d95fc59d85cba5f1633595|e006513b5c7be290e81c8bd614362d07|796c5815752a170021838a78bf7fab34,4b3e2dbd4d59c43bf6982405a5f7fce7|0|0|0|208.07
4|2015-01-06 13:23:23|cae358d7b2d59aafe8e41e70b363a198|2015-01-06 13:13:12|0a0a18c1985e5a2580968bbc90492574|2.5|2.08|1.57|0|a38b030516e52b6f126fb96c159aba25|ff897252b17f195b5216eef189a775ab|b7e3b0110f96213f5087034b92be487a|edba887265f47c8dde81e0a24d472519|3.66|0.73|1.57|1|4e03e74099990e8529eb7e7328220af1|008b99d9c2fd9d58dd1483e364f8e8d3|f12c4112c9ea685dc2d2705b1448bfbc,667daa357f8999be0805a6d62d7d3970,a0ae3bad823bea2ffa642bf47daa4a77|5de73019819ae0aafb3d8224b0686558|5.74|4.25|1.57|0|304979e999d95fc59d85cba5f1633595|b1f57b4c3876f032a2b0ea1f714b0940|796c5815752a170021838a78bf7fab34,4b3e2dbd4d59c43bf6982405a5f7fce7|1|1|0|185.8
5|2015-01-06 13:37:22|9ddbc3f477d31b609f962555d72503ad|2015-01-06 12:48:41|f6e2fa236e98883e972bf0fc58f292e6|12.27|2.45|1.26|0|a38b030516e52b6f126fb96c159aba25|c06dc2b4a5f7ecdfa27a83acf7a29423|b7e3b0110f96213f5087034b92be487a|179e167fd0dc215ddf6346999a1d8ba6|5.74|0.88|1.57|1|4e03e74099990e8529eb7e7328220af1|e54573aaf3c08c40545b97cc5ddf1732|f12c4112c9ea685dc2d2705b1448bfbc,667daa357f8999be0805a6d62d7d3970|4430e468db7670b2ffbefd6cdb9d89e3|4.91|2.45|1.57|1|4e03e74099990e8529eb7e7328220af1|d1b083d764bac332ee2715c369cf7ec1|796c5815752a170021838a78bf7fab34|0|0|0|272.12
6|2015-01-06 15:26:36|1c8dc3fa9ef6d8734fa26e5af8be0b0b|2015-01-06 15:14:20|a6f321b6e5cdc83deb463f46d1921df2|7.5|1.25|0.63|0|f6601412b868a05c118961e9d7869bc8|113593efe095675415192b4aa1ab8653|b78123c345b9f8a300a7fac7a735a8bd,6f735673e0cbf770a14c38aa256011a7|7d6c167459169a4ad31357870b1f70fe|4.35|1.44|1.26|0||fee2c21073bf07c9cd87566fe98fcfb2|7a04f5ee0a1363e6af5ca20434ed72a0,4b3e2dbd4d59c43bf6982405a5f7fce7|476adba5b863c0bde731b9fb9b18e64b|5.51|1.43|3.14|0||5d7f92459adc7208db382fdf5d8f5896|796c5815752a170021838a78bf7fab34|1|0|1|126.01
7|2015-01-06 15:28:48|8cdec5c60ac4348bfa4241919c942188|2015-01-06 15:07:53|ecadb5338a29e7f1bf754bbe9856cbed|4.68|2.59|1.26|1|4e03e74099990e8529eb7e7328220af1|c06dc2b4a5f7ecdfa27a83acf7a29423|b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970|ae4c5a18b3872ce5456d191fabd0b980|10|1.33|0.94|0||5fe8380a433b236f73295914a097adcf|796c5815752a170021838a78bf7fab34|0783bb3e057a87800d6bcbefa605f57d|3.52|1.76|1.88|0|f6601412b868a05c118961e9d7869bc8|d1b083d764bac332ee2715c369cf7ec1|796c5815752a170021838a78bf7fab34|0|0|0|301.43
8|2015-01-06 15:29:30|8877a81d04e853bc31c50da2bd2afaff|2015-01-06 15:22:37|a35974920ba3c9b3a6e50a89910e6b81|9.17|2.04|0.94|1|4e03e74099990e8529eb7e7328220af1|c06dc2b4a5f7ecdfa27a83acf7a29423|b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970|5d64a4abdded231d2b2bc310b13d4ed8|4.82|0.6|1.57|0||008b99d9c2fd9d58dd1483e364f8e8d3|f12c4112c9ea685dc2d2705b1448bfbc|1b950b8f844e60606af9a7afaad9e0d6|6.21|1.24|1.57|1|4e03e74099990e8529eb7e7328220af1|6cb9192a405cfe3283dc2dd4d1c8899b|796c5815752a170021838a78bf7fab34|1|1|1|141.34
9|2015-01-06 15:36:05|8b27c2bbf8acae8915597f3acd2cb94d|2015-01-06 15:19:12|a5c83e7b1e390f85b50eb984e0d58f69|4.54|4.54|1.26|0||349e7ceb68b2f9fdfcc0d27118406b6e|e73355e7a58b57d741111e7ab3855265,1f26675d7c5cfea5899291a241171282|8ddd5c5df1a5fa5c281ef21401ca7527|3.98|1.99|1.88|0|f6601412b868a05c118961e9d7869bc8|d1b083d764bac332ee2715c369cf7ec1|796c5815752a170021838a78bf7fab34,a0ae3bad823bea2ffa642bf47daa4a77|9fafb9b08fcc08a406bebd36ae5a9c6d|11.86|2.96|1.26|0||79fabcbbff49dd85c1428207379518f7|1f26675d7c5cfea5899291a241171282|0|0|0|199.46
10|2015-01-06 15:37:35|8f49f88a3fd0177ec269627c5aae808d|2015-01-06 15:26:12|95a665a99bc32df789fe4e32689a1d61|7.5|1.25|0.94|0|f6601412b868a05c118961e9d7869bc8|113593efe095675415192b4aa1ab8653|b78123c345b9f8a300a7fac7a735a8bd,6f735673e0cbf770a14c38aa256011a7|daeb0780e821ccd9c55ecb42cf57613c|3.06|0.61|1.26|1|4e03e74099990e8529eb7e7328220af1|027ffcc0ad4d5c700af8c916e7cb8bfa|796c5815752a170021838a78bf7fab34|2f3ec6f91181deae49eba36961324981|5.42|0|1.26|0||5887515e36ff538b8c0f4a3eee4dc06b|f74dc92e8e6835ab41d6cb2ca7fc70f9|1|0|1|95.21
11|2015-01-06 15:38:50|e23da1d80d8727e711d643019418773d|2015-01-06 15:16:20|b09389681a88d39c1a13382ec2b09799|6.95|6.95|1.57|0|304979e999d95fc59d85cba5f1633595|b1f57b4c3876f032a2b0ea1f714b0940|796c5815752a170021838a78bf7fab34,4b3e2dbd4d59c43bf6982405a5f7fce7|34ffe0de8d335af223df985a8caf8888|7.36|1.47|1.57|0||7de50d28d59f72c28e762dbf764fb7db|796c5815752a170021838a78bf7fab34|5b67699d969df44b7a717440f5454b2e|5.09|0.73|2.2|0||43b6ec81030877dd874969bdb447c044|f74dc92e8e6835ab41d6cb2ca7fc70f9|0|0|0|332
12|2015-01-06 15:39:08|6029f3b032798bfb61ac456b6a7d1a1d|2015-01-06 15:11:08|a35974920ba3c9b3a6e50a89910e6b81|9.17|2.04|0.94|1|4e03e74099990e8529eb7e7328220af1|c06dc2b4a5f7ecdfa27a83acf7a29423|b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970|b32509af833c5a4e5dafa3ba97fd9184|3.15|0.9|1.26|0|f6601412b868a05c118961e9d7869bc8|37d4e26777956be4bae6409f8a1c4f2b|f12c4112c9ea685dc2d2705b1448bfbc|a61911949929104f166ce2d6f3a27026|5.74|0|1.88|0|f6601412b868a05c118961e9d7869bc8|32ff5903d325a168eb666ca1b2872efd|796c5815752a170021838a78bf7fab34|1|0|0|338.43
13|2015-01-06 15:48:19|d95dee066fdc14c82f38075f59323793|2015-01-06 15:15:12|bcf0fd6a89b05d11ee639eec2d67abd9|5.33|4.44|0.94|0|4381fb749ac14947ba674d72e3e99943|bfdca7185ad7366f965590bab1417db5|b7e3b0110f96213f5087034b92be487a|23b3837f8947b611f3dac4de10b28f0f|7.59|0.84|1.88|0|88566ad89b50ab4d0b2d6bd785b2e46c|e12b2381d02e767dd2d210fdb1ae7bc2|f12c4112c9ea685dc2d2705b1448bfbc,7126180f92127aea2c73e2b24f53c9f7|2d085b6e72016d3897cdd8dd34823469|2.69|1.41|1.57|0|304979e999d95fc59d85cba5f1633595|6836a7a8561303059584cc9ec4c51d0d|796c5815752a170021838a78bf7fab34,ac6d9e2b42dff101d8e6e5582d7a45cf,4b3e2dbd4d59c43bf6982405a5f7fce7|0|0|0|263.46
14|2015-01-06 16:03:25|b48dc9c8691b60fcc7900d54a4d8131b|2015-01-06 15:55:49|cd241de1403986e31247cf297a4e554e|5.56|4.27|1.57|0||c2edc4102bfcb5992539274018c6e1ef|b7e3b0110f96213f5087034b92be487a|d5fbf4979907f250c4175a19b13a6fb1|11.44|1.31|1.88|0|f6601412b868a05c118961e9d7869bc8|37d4e26777956be4bae6409f8a1c4f2b|f12c4112c9ea685dc2d2705b1448bfbc|0ceee246e6a56d77cd032b9b6ef5bfbc|14.36|2.87|0.94|0||6cb9192a405cfe3283dc2dd4d1c8899b|796c5815752a170021838a78bf7fab34|0|0|0|185.66
15|2015-01-06 16:14:09|f71a30cbce74729bfa7ba501429d7db7|2015-01-06 15:36:12|16dc69fb08bed5746853f39b58915e91|8.43|3.51|1.88|0|f6601412b868a05c118961e9d7869bc8|645dd2d872e6d5f4db5598ddecc789d2|b7e3b0110f96213f5087034b92be487a|f14ab4037f85dc86e5e0075e787770e0|3.75|1.07|0.94|0|f6601412b868a05c118961e9d7869bc8|7ebc31798e2d38e862cc336f448781a9|f12c4112c9ea685dc2d2705b1448bfbc|99021045a770925f808ab1cfc8075e1c|3.43|3.43|1.26|0||3e1c802d7407a4d2ff7eec1482f53fb5|e73355e7a58b57d741111e7ab3855265|0|0|0|212.7
